longitude,latitude,prec_hiver,prec_printemps,prec_ete,prec_automne,Tmin_hiver,Tmin_printemps,Tmin_ete,Tmin_automne,Tmax_hiver,Tmax_printemps,Tmax_ete,Tmax_automne
-2.576,26.212,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.574,26.213,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.571,26.213,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.569,26.214,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.566,26.214,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-1.997,26.335,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-1.992,26.336,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.018,26.338,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.998,26.338,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-1.993,26.339,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-1.988,26.34,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.003,26.341,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.983,26.341,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.018,26.342,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.998,26.342,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.014,26.343,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.994,26.343,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.009,26.344,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.989,26.344,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.004,26.345,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.984,26.345,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.019,26.346,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.999,26.346,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-1.994,26.346,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.014,26.347,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.01,26.347,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.99,26.347,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.005,26.348,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.985,26.348,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.025,26.349,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.02,26.349,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.0,26.349,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.015,26.35,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.995,26.35,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.01,26.351,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.99,26.351,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.006,26.352,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.986,26.352,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.021,26.353,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.001,26.353,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.016,26.354,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.996,26.354,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.011,26.355,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-1.991,26.355,0.26666668,0.20833333,0.29999998,1.6999999,9.0,20.333334,29.666666,21.333334,23.25,35.333332,44.666668,35.333332
-2.067,26.36,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.057,26.362,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.073,26.363,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.068,26.363,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.063,26.364,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.058,26.365,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.074,26.366,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.069,26.367,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.064,26.368,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.079,26.369,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.059,26.369,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.074,26.37,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.054,26.37,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.07,26.371,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.05,26.371,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.085,26.372,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.065,26.372,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.08,26.373,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.06,26.373,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.055,26.373,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.075,26.374,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.07,26.374,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.05,26.374,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.086,26.375,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.065,26.375,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.081,26.376,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.061,26.376,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.096,26.377,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.076,26.377,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.056,26.377,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.091,26.378,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.071,26.378,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.051,26.378,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.086,26.379,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.066,26.379,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.082,26.38,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.061,26.38,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.195,26.381,0.26666668,0.23333333,0.29999998,1.6,9.083333,20.333334,29.666666,21.416666,23.333334,35.333332,44.75,35.5
-2.097,26.381,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.077,26.381,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.057,26.381,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.19,26.382,0.26666668,0.23333333,0.29999998,1.6,9.083333,20.333334,29.666666,21.416666,23.333334,35.333332,44.75,35.5
-2.092,26.382,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.072,26.382,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.052,26.382,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.185,26.383,0.26666668,0.23333333,0.29999998,1.6,9.083333,20.333334,29.666666,21.416666,23.333334,35.333332,44.75,35.5
-2.087,26.383,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.067,26.383,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.062,26.383,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.082,26.384,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.058,26.384,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.078,26.385,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.073,26.385,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.191,26.386,0.26666668,0.23333333,0.29999998,1.6,9.083333,20.333334,29.666666,21.416666,23.333334,35.333332,44.75,35.5
-2.093,26.386,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.088,26.386,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.189,26.387,0.26666668,0.23333333,0.29999998,1.6,9.083333,20.333334,29.666666,21.416666,23.333334,35.333332,44.75,35.5
-2.186,26.387,0.26666668,0.23333333,0.29999998,1.6,9.083333,20.333334,29.666666,21.416666,23.333334,35.333332,44.75,35.5
-2.083,26.387,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.184,26.388,0.26666668,0.23333333,0.29999998,1.6,9.083333,20.333334,29.666666,21.416666,23.333334,35.333332,44.75,35.5
-2.098,26.388,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.078,26.388,0.26666668,0.23333333,0.29999998,1.7416667,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
-2.093,26.389,0.26666668,0.23333333,0.29999998,1.6,9.0,20.333334,29.666666,21.333334,23.333334,35.333332,44.666668,35.5
